City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
205,Kodiak,US,2022-07-02 21:28:16,57.79,-152.4072,54.91,88,100,17.27,light rain
206,Wanning,CN,2022-07-02 21:28:16,18.8003,110.3967,81.39,83,100,16.44,moderate rain
207,East London,ZA,2022-07-02 21:28:16,-33.0153,27.9116,72.3,38,0,11.16,clear sky
208,Victor Harbor,AU,2022-07-02 21:28:17,-35.5667,138.6167,44.67,78,96,8.14,overcast clouds
209,Riyadh,SA,2022-07-02 21:28:17,24.6877,46.7219,91.54,12,55,8.93,broken clouds
210,Namtsy,RU,2022-07-02 21:28:17,62.7161,129.6658,66.47,64,100,3.67,overcast clouds
211,Sumbe,AO,2022-07-02 21:28:17,-11.2061,13.8437,68.5,90,1,4.38,clear sky
212,Dakar,SN,2022-07-02 21:28:18,14.6937,-17.4441,78.93,73,75,11.5,broken clouds
213,Namibe,AO,2022-07-02 21:28:18,-15.1961,12.1522,66.83,65,0,9.84,clear sky
214,Salvador,SV,2022-07-02 21:26:20,13.8333,-88.9167,81.0,86,99,1.95,overcast clouds
215,Yulara,AU,2022-07-02 21:28:18,-25.2406,130.9889,39.49,80,0,9.44,clear sky
216,Smolenka,RU,2022-07-02 21:28:19,52.1352,113.4974,69.87,83,40,8.95,scattered clouds
217,San Jose De Rio Tinto,HN,2022-07-02 21:28:19,14.9333,-85.7,85.57,99,100,4.63,overcast clouds
218,Vao,NC,2022-07-02 21:28:20,-22.6667,167.4833,73.0,78,89,15.19,overcast clouds
219,Kisangani,CD,2022-07-02 21:28:20,0.5167,25.2,70.54,96,94,2.75,overcast clouds
220,Strezhevoy,RU,2022-07-02 21:28:20,60.7333,77.5889,53.46,76,97,6.38,overcast clouds
221,Hasaki,JP,2022-07-02 21:28:20,35.7333,140.8333,77.4,92,29,8.72,scattered clouds
222,Tuktoyaktuk,CA,2022-07-02 21:28:21,69.4541,-133.0374,80.6,39,20,8.05,few clouds
223,Tura,IN,2022-07-02 21:28:21,25.5198,90.2201,74.28,92,86,4.5,overcast clouds
224,Veinticinco De Mayo,AR,2022-07-02 21:28:21,-35.4323,-60.1727,47.98,57,0,1.99,clear sky
225,Majene,ID,2022-07-02 21:28:21,-3.5403,118.9707,77.95,90,61,5.79,broken clouds
226,Chuy,UY,2022-07-02 21:28:22,-33.6971,-53.4616,51.42,75,0,7.52,clear sky
227,Itoman,JP,2022-07-02 21:28:22,26.1247,127.6694,78.82,92,75,21.85,light intensity shower rain
228,Bhatkal,IN,2022-07-02 21:28:22,13.9667,74.5667,79.77,87,100,11.74,overcast clouds
229,Khawhai,IN,2022-07-02 21:28:22,23.3667,93.1167,61.86,100,98,0.29,moderate rain
230,Hami,CN,2022-07-02 21:28:23,42.8,93.45,80.28,22,100,7.43,overcast clouds
231,Port Blair,IN,2022-07-02 21:28:23,11.6667,92.75,82.76,81,100,18.54,overcast clouds
232,Eaglesham,GB,2022-07-02 21:28:23,55.7412,-4.2746,55.72,80,100,6.91,overcast clouds
233,Progreso,MX,2022-07-02 21:25:24,21.2833,-89.6667,96.12,71,8,15.5,clear sky
234,Luderitz,NA,2022-07-02 21:28:24,-26.6481,15.1594,58.87,80,0,5.75,clear sky
235,Menongue,AO,2022-07-02 21:28:24,-14.6585,17.691,53.85,52,3,3.78,clear sky
236,Vostok,RU,2022-07-02 21:28:24,46.4856,135.8833,66.56,97,99,3.6,overcast clouds
237,Zyryanka,RU,2022-07-02 21:28:25,65.75,150.85,58.68,43,7,12.08,clear sky
238,Zapolyarnyy,RU,2022-07-02 21:28:25,69.4154,30.8136,60.08,69,20,7.65,few clouds
239,Beruwala,LK,2022-07-02 21:28:25,6.4788,79.9828,80.19,84,71,17.38,heavy intensity rain
240,Winnemucca,US,2022-07-02 21:27:13,40.973,-117.7357,89.65,8,0,11.5,clear sky
241,Timizart,DZ,2022-07-02 21:28:25,36.8,4.2667,79.02,52,100,15.82,light rain
242,San Quintin,MX,2022-07-02 21:28:26,30.4833,-115.95,74.66,61,0,19.35,clear sky
243,Kaeo,NZ,2022-07-02 21:28:26,-35.1,173.7833,50.36,77,29,3.51,scattered clouds
244,Camacupa,AO,2022-07-02 21:28:26,-12.0167,17.4833,58.71,39,1,2.37,clear sky
245,Yabrud,SY,2022-07-02 21:28:26,33.9674,36.6574,69.85,50,0,4.21,clear sky
246,Conceicao Do Araguaia,BR,2022-07-02 21:28:27,-8.2578,-49.2647,86.47,41,84,3.38,broken clouds
247,Morant Bay,JM,2022-07-02 21:28:27,17.8815,-76.4093,85.71,70,95,10.98,overcast clouds
248,Amanganj,IN,2022-07-02 21:28:27,24.4333,80.0333,83.93,74,100,4.99,overcast clouds
249,Jiuquan,CN,2022-07-02 21:28:28,39.7432,98.5174,70.9,36,52,3.36,broken clouds
250,Besancon,FR,2022-07-02 21:28:28,47.2488,6.0182,68.14,88,0,2.95,clear sky
251,Toribio,CO,2022-07-02 21:28:28,2.9548,-76.2684,67.46,87,100,0.58,overcast clouds
252,Lanzhou,CN,2022-07-02 21:28:28,36.0564,103.7922,71.94,42,2,2.33,clear sky
253,Dhenkanal,IN,2022-07-02 21:28:29,20.6667,85.6,79.56,87,100,4.32,overcast clouds
254,Bilma,NE,2022-07-02 21:28:29,18.6853,12.9164,93.97,16,5,8.08,clear sky
255,Severo-Kurilsk,RU,2022-07-02 21:28:29,50.6789,156.125,50.63,91,68,11.23,broken clouds
256,Siirt,TR,2022-07-02 21:28:29,37.9326,41.9403,74.23,41,0,6.44,clear sky
257,Timaru,NZ,2022-07-02 21:28:30,-44.4,171.25,44.04,75,100,5.46,overcast clouds
